role,session,predictor,duration_s,crse,cae,bucket
test,S-A5,constant_velocity_dr,10.0,31.77532497920416,31.6530444362676,0-5
test,S-A5,constant_velocity_dr,10.0,2.297024889568943,-1.8594752355506543,5-15
test,S-A5,constant_velocity_dr,10.0,15.54300627925386,-15.818048657198823,5-15
test,S-A5,constant_velocity_dr,10.0,16.72539524302533,-16.52690399360595,5-15
test,S-A5,constant_velocity_dr,10.0,13.028123619345907,9.190400237282288,5-15
test,S-A5,constant_velocity_dr,10.0,9.497000694075082,6.841754995726293,5-15
test,S-A5,constant_velocity_dr,10.0,3.525811484833398,2.8483619751556573,5-15
test,S-A5,constant_velocity_dr,10.0,9.549789387603743,8.58318970968499,5-15
test,S-A5,constant_velocity_dr,10.0,13.105073054804835,-12.775001665521934,5-15
test,S-A5,constant_velocity_dr,10.0,2.7990930131966345,2.5396856599073354,5-15
test,S-A5,constant_velocity_dr,10.0,5.7679277945294025,5.157716575314783,5-15
test,S-A5,constant_velocity_dr,10.0,3.457524837870897,-3.1425698430858997,5-15
test,S-A5,constant_velocity_dr,10.0,6.159378451973484,-4.274402254572211,5-15
test,S-A5,constant_velocity_dr,10.0,16.712510886296883,-16.711527892913736,5-15
test,S-A5,constant_velocity_dr,10.0,8.516225331075752,-8.426297462094187,5-15
test,S-A5,constant_velocity_dr,10.0,10.178937382502683,10.015572888272759,5-15
test,S-A5,constant_velocity_dr,10.0,2.0023670259484367,-0.7213380623350236,5-15
test,S-A5,constant_velocity_dr,10.0,5.623280032908314,5.010760643556669,5-15
test,S-A5,constant_velocity_dr,10.0,5.293040311232167,5.004685875661327,5-15
test,S-A5,constant_velocity_dr,10.0,49.293411454848375,48.704325650593894,0-5
test,S-A5,constant_velocity_dr,10.0,8.868383210550475,-8.974332570275372,5-15
test,S-A5,constant_velocity_dr,10.0,11.091198949541212,10.793053144523162,5-15
test,S-A5,constant_velocity_dr,10.0,11.6047609552651,-11.723576605867342,5-15
test,S-A5,constant_velocity_dr,10.0,2.5549409750186816,-2.5924838542810447,5-15
test,S-A5,constant_velocity_dr,10.0,6.869541032231212,-6.9775954508968905,5-15
test,S-A5,constant_velocity_dr,10.0,13.52301794194174,-13.111735987503522,5-15
test,S-A5,constant_velocity_dr,10.0,20.963980140269506,-21.055349385994372,5-15
test,S-A5,constant_velocity_dr,10.0,23.747241496214865,-23.797599379990704,15-25
test,S-A5,constant_velocity_dr,10.0,11.580637330340224,-11.421527045538415,15-25
test,S-A5,constant_velocity_dr,10.0,10.459962055374756,-2.536370385015509,15-25
test,S-A5,constant_velocity_dr,10.0,1.9620924518092353,-1.2942405630322575,15-25
test,S-A5,constant_velocity_dr,10.0,15.489497742028611,15.431710315496598,15-25
test,S-A5,constant_velocity_dr,10.0,3.310576650602173,3.1527382173850924,15-25
test,S-A5,constant_velocity_dr,10.0,2.783814701352138,-2.874638387178706,15-25
test,S-A5,constant_velocity_dr,10.0,12.865078745720593,-12.890974183583285,15-25
test,S-A5,constant_velocity_dr,10.0,3.9625313973305003,-3.6999318190601294,15-25
test,S-A5,constant_velocity_dr,10.0,3.8149080858539546,3.7485187829549425,15-25
test,S-A5,constant_velocity_dr,10.0,7.253278767940518,-6.951177906343144,15-25
test,S-A5,constant_velocity_dr,10.0,1.060757582296395,0.9756463701557934,15-25
test,S-A5,constant_velocity_dr,10.0,3.126224029590695,-2.9646799379087305,15-25
test,S-A5,constant_velocity_dr,10.0,22.32418791285564,21.941372805150106,15-25
test,S-A5,constant_velocity_dr,10.0,7.813765002138116,-7.188873385369833,15-25
test,S-A5,constant_velocity_dr,10.0,59.18390445937255,58.862942795023216,5-15
test,S-A5,constant_velocity_dr,10.0,20.60794623192611,20.515990052826538,5-15
test,S-A5,constant_velocity_dr,10.0,19.481733630231762,19.404590110747595,0-5
test,S-A5,constant_velocity_dr,10.0,5.302011274067818,5.033509778375737,5-15
test,S-A5,constant_velocity_dr,10.0,36.77361656637319,36.522294301790666,5-15
test,S-A5,constant_velocity_dr,10.0,6.425476375129688,-6.412790711076433,5-15
test,S-A5,constant_velocity_dr,10.0,12.948525949568777,12.894124338267286,5-15
test,S-A5,constant_velocity_dr,10.0,0.9559661870507639,0.8847927667303406,5-15
test,S-A5,constant_velocity_dr,10.0,17.32566676765139,-17.35071079779462,15-25
test,S-A5,constant_velocity_dr,10.0,9.322152671067494,-9.158389708851995,15-25
test,S-A5,constant_velocity_dr,10.0,4.169869822991785,-4.212864007681958,15-25
test,S-A5,constant_velocity_dr,10.0,6.532654633607523,6.124756489863399,15-25
test,S-A5,constant_velocity_dr,10.0,7.923846944748963,-7.867807135564071,15-25
test,S-A5,constant_velocity_dr,10.0,13.493040959083274,-13.465743471197314,15-25
test,S-A5,constant_velocity_dr,10.0,5.349424146037733,1.6695657884633057,15-25
test,S-A5,constant_velocity_dr,10.0,19.602043692896682,-13.567558233670304,15-25
test,S-A5,constant_velocity_dr,10.0,16.579062486097303,3.12068610455292,15-25
test,S-A5,constant_velocity_dr,10.0,14.313136699398974,1.8098830232757095,15-25
