role,session,predictor,duration_s,crse_m,final_pos_err_m,aeps_m,true_distance_m
test,S-A5,ins_dr,10.0,34.48391031088368,34.48391031088368,3.3902969028996965,49.6956743494061
test,S-A5,ins_dr,10.0,12.797899785376352,12.797899785376352,1.2898465384747133,66.67433257027537
test,S-A5,ins_dr,10.0,4.588479414102593,4.588479414102593,0.8737245372765763,54.40694685547684
test,S-A5,ins_dr,10.0,16.770347353656643,16.770347353656643,1.6877476997573233,63.52357660586734
test,S-A5,ins_dr,10.0,11.547449343532657,11.547449343532657,1.1630658845478414,78.09248385428103
test,S-A5,ins_dr,10.0,14.343575981221617,14.343575981221617,1.4441387854145167,89.0775954508969
test,S-A5,ins_dr,10.0,19.970429336883548,19.970429336883548,1.9883447226278121,111.91173598750353
test,S-A5,ins_dr,10.0,30.28713713868715,30.28713713868715,3.0328887624847782,137.95534938599437
test,S-A5,ins_dr,10.0,39.68345891456856,39.68345891456856,3.9723704684947685,171.4975993799907
test,S-A5,ins_dr,10.0,25.630382347036015,25.630382347036015,2.572185764123953,195.5215270455384
test,S-A5,ins_dr,10.0,27.411769978468488,27.411769978468488,2.594130414145548,197.7363703850155
test,S-A5,ins_dr,10.0,22.82465121833627,22.82465121833627,6.097182646725202,213.79424056303225
test,S-A5,ins_dr,10.0,7.953939445334743,7.953939445334743,0.9255565251632387,196.7682896845034
test,S-A5,ins_dr,10.0,15.569274902945626,15.569274902945626,1.617047030272841,187.14726178261492
test,S-A5,ins_dr,10.0,24.227711260602174,24.227711260602174,2.431217947946437,182.8746383871787
test,S-A5,ins_dr,10.0,31.486734407817412,31.486734407817412,3.153704440191174,212.4909741835833
test,S-A5,ins_dr,10.0,24.99988631462934,24.99988631462934,2.501769807839472,218.49993181906012
test,S-A5,ins_dr,10.0,18.569519838375424,18.569519838375424,1.8552203136586845,210.45148121704509
test,S-A5,ins_dr,10.0,30.316342937205107,30.316342937205107,3.1072159527942675,217.65117790634315
test,S-A5,ins_dr,10.0,18.99439577230193,18.99439577230193,1.9314892270551467,215.42435362984418
test,S-A5,ins_dr,10.0,23.77839285421935,23.77839285421935,2.3761329888749945,217.86467993790873
test,S-A5,ins_dr,10.0,6.881905146745096,6.881905146745096,1.6944530145329673,194.75862719484994
test,S-A5,ins_dr,10.0,26.207634808421943,26.207634808421943,3.8503084026273866,202.58887338536982
test,S-A5,ins_dr,10.0,47.28813361736207,47.28813361736207,4.773138829876614,149.53705720497678
test,S-A5,ins_dr,10.0,8.21666689161173,8.21666689161173,1.2117414570398064,61.284009947173466
test,S-A5,ins_dr,10.0,13.649544200676559,13.649544200676559,1.8812305294278306,48.395409889252406
test,S-A5,ins_dr,10.0,9.045928723793805,9.045928723793805,1.131435536237111,54.36649022162426
test,S-A5,ins_dr,10.0,24.29809627181466,24.29809627181466,2.512264307070288,56.67770569820934
test,S-A5,ins_dr,10.0,14.275096406376562,14.275096406376562,1.4275118919697034,122.91279071107644
test,S-A5,ins_dr,10.0,0.6591053348659663,0.6591053348659663,0.6805070158090869,115.5058756617327
test,S-A5,ins_dr,10.0,9.24123669047236,9.24123669047236,1.35045305611433,123.91520723326967
test,S-A5,ins_dr,10.0,27.98556568872709,27.98556568872709,2.800143010996183,156.35071079779462
test,S-A5,ins_dr,10.0,24.10138630950215,24.10138630950215,2.4221127089870604,164.058389708852
test,S-A5,ins_dr,10.0,22.643359461308272,22.643359461308272,2.2704494496236487,176.11286400768196
test,S-A5,ins_dr,10.0,12.787701875129766,12.787701875129766,1.2846243901538015,166.1752435101366
test,S-A5,ins_dr,10.0,23.83766891922173,23.83766891922173,2.57301135119737,165.46780713556407
test,S-A5,ins_dr,10.0,27.77923811474411,27.77923811474411,2.7787155350010453,182.86574347119733
